year,state,atkin05,gini,rmeandev,theil,top10,top1
1920,"California",.1402894,.3915959,.56491,.372672,.3426669,.1131382
1920,"Colorado",.1168765,.3462687,.4930017,.3219616,.3158615,.1047317
1920,"Connecticut",.1520798,.3990933,.5686327,.4210249,.3591011,.1305735
1920,"Delaware",.1566468,.3961713,.5761318,.4561835,.3671961,.1403515
1920,"District of Columbia",.1472724,.3890076,.5614968,.4196121,.351353,.1325212
1920,"Florida",.1373795,.3835573,.5539254,.3714708,.344969,.1101702
1920,"Georgia",.1289362,.3603387,.5243896,.3541774,.3386383,.1145528
1920,"Hawaii",,,,,,
1920,"Idaho",.0637579,.2684438,.3706527,.1494514,.2384964,.0578387
1920,"Illinois",.1656118,.4167522,.6177341,.470403,.3800107,.1364786
1920,"Indiana",.1090577,.333509,.4723602,.2913534,.3036095,.1021886
1920,"Iowa",.1074864,.354962,.5081248,.2560927,.3028554,.0729064
1920,"Kansas",.1056503,.3410571,.4866173,.2657383,.2981998,.0881326
1920,"Kentucky",.1297417,.3777948,.5469065,.3335519,.3374572,.1010014
1920,"Louisiana",.1445975,.3951162,.5645719,.3877272,.3484603,.1174986
1920,"Maine",.1349218,.3771466,.5360062,.3745375,.334233,.1151869
1920,"Maryland",.1587776,.4086408,.5918388,.4444512,.3692135,.1334212
1920,"Massachusetts",.1764483,.4235869,.6112015,.51799,.3866493,.1545023
1920,"Michigan",.1548128,.3874196,.5617005,.5022556,.3601493,.1428949
1920,"Minnesota",.1387823,.3786182,.5420542,.3842898,.3465295,.1217552
1920,"Mississippi",.1155763,.3455169,.4948636,.3079277,.3162622,.1044825
1920,"Missouri",.1619431,.4184738,.6163353,.4386731,.3788691,.12541
1920,"Montana",.0661812,.2564801,.3512733,.1781499,.2419273,.0695282
1920,"Nebraska",.1097396,.3538426,.5077892,.2694729,.3058677,.0820996
1920,"Nevada",.0556098,.2542506,.3539192,.1265599,.2311779,.0502897
1920,"New Hampshire",.1260132,.3654245,.5175448,.336857,.3215935,.1107306
1920,"New Jersey",.1561839,.4033307,.5836204,.4438683,.3657429,.1325899
1920,"New Mexico",.0662222,.2681763,.3717748,.1580983,.2473761,.0632797
1920,"New York",.2144907,.4724759,.7018989,.6624271,.4324716,.1764977
1920,"North Carolina",.1803211,.4246533,.6180619,.5793478,.3884719,.1580557
1920,"North Dakota",.0719703,.2864826,.4014674,.1678749,.2485622,.0619821
1920,"Ohio",.1518876,.39157,.5707583,.4348153,.3640378,.1332892
1920,"Oklahoma",.1458746,.3913403,.5682787,.4059458,.353143,.1238189
1920,"Oregon",.1232317,.3603662,.5160494,.3414989,.3176342,.1079447
1920,"Pennsylvania",.1821249,.4273172,.6307682,.5472439,.3974155,.1611444
1920,"Rhode Island",.2197373,.4755296,.7013693,.6747355,.4368404,.1876188
1920,"South Carolina",.1181833,.3515507,.5042901,.309816,.3218177,.1038721
1920,"South Dakota",.0890581,.3250531,.4589963,.2056625,.2704828,.0642464
1920,"Tennessee",.1460972,.3994263,.5868042,.3835342,.3593105,.1114868
1920,"Texas",.1142683,.3420271,.4846593,.3097729,.3093939,.1059512
1920,"Utah",.0819068,.2910597,.4017441,.2057247,.2726243,.0792505
1920,"Vermont",.1512893,.4007424,.5729573,.4218201,.3519909,.1302974
1920,"Virginia",.1219274,.359278,.5150565,.320599,.3280032,.1022456
1920,"Washington",.0945386,.3183687,.445407,.2480476,.2833211,.0862188
1920,"West Virginia",.1166114,.3374874,.4801053,.3210587,.3158482,.1141045
1920,"Wisconsin",.1417702,.3890702,.5711822,.3792179,.3555592,.1154878
1920,"Wyoming",.0586906,.2429563,.3282625,.1457712,.2369472,.0649853
1921,"United States",.1639971,.4133158,.584514,.4529646,.3577788,.1320289
1921,"Alabama",.1159975,.3439537,.4688728,.3002446,.3053509,.0992149
1921,"Alaska",,,,,,
1921,"Arizona",.0510858,.2314123,.3098829,.1197379,.2206469,.0539748
1921,"Arkansas",.1163039,.3538646,.4800603,.2802312,.3010876,.0891488
1921,"California",.1488543,.4012686,.5648719,.3814347,.34366,.1129861
1921,"Colorado",.1391287,.3886519,.5349888,.3465995,.3183672,.1036757
1921,"Connecticut",.1791923,.4401506,.6256438,.4766096,.3791142,.1347262
1921,"Delaware",.1545552,.3967919,.5542281,.4242276,.3508176,.1278844
